Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,63,,,20.0,,Dennis Rohan,1,BMC Racing Team,,1,2015,
30,114,,,17.0,,Martin Tony,2,Etixx - Quick Step,,1,2015,
34,143,,,15.0,,Cancellara Fabian,3,Trek Factory Racing,,1,2015,
24,85,,,13.0,,Dumoulin Tom,4,Team Giant - Alpecin,,1,2015,
30,138,,,11.0,,van Emden Jos,5,Team LottoNL-Jumbo,,1,2015,
28,53,,,10.0,,Castroviejo Jonathan,6,Movistar Team,,1,2015,
25,182,,,9.0,,Brändle Matthias,7,IAM Cycling,,1,2015,
27,58,,,8.0,,Malori Adriano,8,Movistar Team,,1,2015,
24,132,,,7.0,,Kelderman Wilco,9,Team LottoNL-Jumbo,,1,2015,
34,212,,,6.0,,Cummings Steve,10,MTN - Qhubeka,,1,2015,
29,131,,,5.0,,Gesink Robert,11,Team LottoNL-Jumbo,,1,2015,
29,39,,,4.0,,Thomas Geraint,12,Team Sky,,1,2015,
26,54,,,3.0,,Dowsett Alex,13,Movistar Team,,1,2015,
28,141,,,2.0,,Mollema Bauke,14,Trek Factory Racing,,1,2015,
22,147,,,1.0,,Jungels Bob,15,Trek Factory Racing,,1,2015,
32,75,,,55.0,,Greipel André,1,Lotto Soudal,,2,2015,-
25,47,,,39.0,,Sagan Peter,2,Tinkoff - Saxo,,2,2015,-
34,143,,,35.0,3.0,Cancellara Fabian,3,Trek Factory Racing,,2,2015,-
30,112,,,26.0,,Cavendish Mark,4,Etixx - Quick Step,,2,2015,-
30,114,,,25.0,2.0,Martin Tony,5,Etixx - Quick Step,,2,2015,▼3
24,85,,,23.0,4.0,Dumoulin Tom,6,Team Giant - Alpecin,,2,2015,▼2
25,63,,,20.0,1.0,Dennis Rohan,7,BMC Racing Team,,2,2015,▼6
30,192,,,20.0,,Bárta Jan,8,Bora - Argon 18,,2,2015,-
32,184,,,17.0,,Clement Stef,9,IAM Cycling,,2,2015,-
28,64,,,16.0,,Oss Daniel,10,BMC Racing Team,,2,2015,-
26,206,,,15.0,,Fonseca Armindo,11,Bretagne - Séché Environnement,,2,2015,-
30,68,,,14.0,,Van Avermaet Greg,12,BMC Racing Team,,2,2015,-
31,126,,,13.0,,Quéméneur Perrig,13,Team Europcar,,2,2015,-
30,31,,,12.0,,Froome Chris,14,Team Sky,,2,2015,-
26,81,,,11.0,,Degenkolb John,15,Team Giant - Alpecin,,2,2015,-
30,138,,,11.0,5.0,van Emden Jos,16,Team LottoNL-Jumbo,,2,2015,▼11
28,96,,,10.0,,Kristoff Alexander,17,Team Katusha,,2,2015,-
28,53,,,10.0,6.0,Castroviejo Jonathan,18,Movistar Team,,2,2015,▼12
29,39,,,9.0,12.0,Thomas Geraint,19,Team Sky,,2,2015,▼7
25,182,,,9.0,7.0,Brändle Matthias,20,IAM Cycling,,2,2015,▼13
27,58,,,8.0,8.0,Malori Adriano,21,Movistar Team,,2,2015,▼13
23,82,,,7.0,,Barguil Warren,22,Team Giant - Alpecin,,2,2015,-
24,132,,,7.0,9.0,Kelderman Wilco,23,Team LottoNL-Jumbo,,2,2015,▼14
24,171,,,7.0,,Bouhanni Nacer,24,"Cofidis, Solutions Crédits",,2,2015,-
26,61,,,6.0,,van Garderen Tejay,25,BMC Racing Team,,2,2015,-
34,212,,,6.0,10.0,Cummings Steve,26,MTN - Qhubeka,,2,2015,▼16
23,122,,,6.0,,Coquard Bryan,27,Team Europcar,,2,2015,-
29,131,,,5.0,11.0,Gesink Robert,28,Team LottoNL-Jumbo,,2,2015,▼17
32,41,,,4.0,,Contador Alberto,29,Tinkoff - Saxo,,2,2015,-
32,84,,,4.0,,de Kort Koen,30,Team Giant - Alpecin,,2,2015,-
28,118,,,3.0,,Urán Rigoberto,31,Etixx - Quick Step,,2,2015,-
26,54,,,3.0,13.0,Dowsett Alex,32,Movistar Team,,2,2015,▼19
25,179,,,3.0,,Vanbilsen Kenneth,33,"Cofidis, Solutions Crédits",,2,2015,-
27,71,,,2.0,,Gallopin Tony,34,Lotto Soudal,,2,2015,-
28,141,,,2.0,14.0,Mollema Bauke,35,Trek Factory Racing,,2,2015,▼21
34,43,,,2.0,,Bennati Daniele,36,Tinkoff - Saxo,,2,2015,-
28,67,,,1.0,,Schär Michael,37,BMC Racing Team,,2,2015,-
