Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
36,62,4.0,15.0,Gasparotto Enrico,20,Bahrain Merida Pro Cycling Team,\u25bc5,6,2018
27,52,4.0,16.0,Fraile Omar,21,Astana Pro Team,\u25bc5,6,2018
26,142,4.0,17.0,Brown Nathan,22,Team EF Education First-Drapac p/b Cannondale,\u25bc5,6,2018
24,194,3.0,19.0,Ourselin Paul,23,Direct Energie,\u25bc4,6,2018
27,43,3.0,20.0,Dillier Silvan,24,AG2R La Mondiale,\u25bc4,6,2018
33,11,2.0,22.0,Porte Richie,25,BMC Racing Team,\u25bc3,6,2018
29,97,2.0,23.0,Vichot Arthur,26,Groupama - FDJ,\u25bc3,6,2018
31,81,2.0,24.0,Mollema Bauke,27,Trek - Segafredo,\u25bc3,6,2018
24,83,1.0,,Gogl Michael,28,Trek - Segafredo,-,6,2018
27,182,36.0,1.0,Christian Mark,1,Aqua Blue Sport,-,7,2018
29,3,32.0,2.0,Haas Nathan,2,Team Katusha - Alpecin,-,7,2018
30,196,24.0,3.0,Sicard Romain,3,Direct Energie,-,7,2018
28,111,20.0,,Quintana Nairo,4,Movistar Team,-,7,2018
27,187,20.0,4.0,Warbasse Larry,5,Aqua Blue Sport,\u25bc1,7,2018
31,197,20.0,5.0,Taaram\xe4e Rein,6,Direct Energie,\u25bc1,7,2018
22,207,17.0,6.0,Zaccanti Filippo,7,Nippo - Vini Fantini - Europa Ovini,\u25bc1,7,2018
24,44,16.0,7.0,Peters Nans,8,AG2R La Mondiale,\u25bc1,7,2018
35,105,16.0,8.0,Monfort Maxime,9,Lotto Soudal,\u25bc1,7,2018
31,75,15.0,9.0,Oss Daniel,10,BORA - hansgrohe,\u25bc1,7,2018
33,51,15.0,,Fuglsang Jakob,11,Astana Pro Team,-,7,2018
25,6,15.0,10.0,Smit Willie,12,Team Katusha - Alpecin,\u25bc2,7,2018
23,35,14.0,11.0,Andersen S\xf8ren Kragh,13,Team Sunweb,\u25bc2,7,2018
23,126,14.0,15.0,Mas Enric,14,Quick-Step Floors,\u25b21,7,2018
28,177,12.0,12.0,Ulissi Diego,15,UAE-Team Emirates,\u25bc3,7,2018
23,193,12.0,13.0,Grellier Fabien,16,Direct Energie,\u25bc3,7,2018
33,11,12.0,25.0,Porte Richie,17,BMC Racing Team,\u25b28,7,2018
34,195,12.0,14.0,Quemeneur Perrig,18,Direct Energie,\u25bc4,7,2018
27,31,10.0,18.0,Kelderman Wilco,19,Team Sunweb,\u25bc1,7,2018
28,136,8.0,16.0,Slagter Tom-Jelte,20,Team Dimension Data,\u25bc4,7,2018
28,23,7.0,17.0,Juul-Jensen Christopher,21,Mitchelton-Scott,\u25bc4,7,2018
25,185,6.0,19.0,Watson Calvin,22,Aqua Blue Sport,\u25bc3,7,2018
36,62,4.0,20.0,Gasparotto Enrico,23,Bahrain Merida Pro Cycling Team,\u25bc3,7,2018
27,52,4.0,21.0,Fraile Omar,24,Astana Pro Team,\u25bc3,7,2018
26,142,4.0,22.0,Brown Nathan,25,Team EF Education First-Drapac p/b Cannondale,\u25bc3,7,2018
24,194,3.0,23.0,Ourselin Paul,26,Direct Energie,\u25bc3,7,2018
27,43,3.0,24.0,Dillier Silvan,27,AG2R La Mondiale,\u25bc3,7,2018
31,81,2.0,27.0,Mollema Bauke,28,Trek - Segafredo,\u25bc1,7,2018
29,97,2.0,26.0,Vichot Arthur,29,Groupama - FDJ,\u25bc3,7,2018
24,153,1.0,,Bouwman Koen,30,Team LottoNL-Jumbo,-,7,2018
24,83,1.0,28.0,Gogl Michael,31,Trek - Segafredo,\u25bc3,7,2018
27,182,36.0,1.0,Christian Mark,1,Aqua Blue Sport,-,8,2018
29,3,32.0,2.0,Haas Nathan,2,Team Katusha - Alpecin,-,8,2018
30,196,24.0,3.0,Sicard Romain,3,Direct Energie,-,8,2018
