Age,Avg,Pnt,Rider,Rnk,Team,stage,year
26,,50.0,Cancellara Fabian,1,CSC ProTeam,0,2007
26,,30.0,Bennati Daniele,2,Lampre-Fondital,0,2007
28,,18.0,Guti\xe9rrez Jos\xe9 Iv\xe1n,3,Caisse d'Epargne,0,2007
24,,13.0,Bonnet William,4,Cr\xe9dit Agricole,0,2007
33,,10.0,O'Grady Stuart,5,CSC ProTeam,0,2007
24,,7.0,Gusev Vladimir,6,Discovery Channel,0,2007
28,,4.0,Elmiger Martin,7,AG2R Pr\xe9voyance,0,2007
25,,3.0,Vaugrenard Benoit,8,Fran\xe7aise des Jeux,0,2007
25,,2.0,Schumacher Stefan,9,Gerolsteiner,0,2007
29,,1.0,Hoste Leif,10,Predictor - Lotto,0,2007
28,,,Kirchen Kim,11,T-Mobile Team,0,2007
36,,,Zberg Beat,12,Gerolsteiner,0,2007
31,,,Kl\xf6den Andr\xe9as,13,Astana,0,2007
26,,,Larsson Gustav,14,Unibet.com,0,2007
31,,,Freire Oscar,15,Rabobank ProTeam,0,2007
21,,,Meersman Gianni,16,Discovery Channel,0,2007
25,,,Schwab Hubert,17,Quickstep - Innergetic,0,2007
29,,,Pellizotti Franco,18,Liquigas,0,2007
26,,,Barredo Carlos,19,Quickstep - Innergetic,0,2007
24,,,Visconti Giovanni,20,Quickstep - Innergetic,0,2007
27,,,Florencio Xavier,21,Bouygues Telecom,0,2007
27,,,Ballan Alessandro,22,Lampre-Fondital,0,2007
26,,,Karpets Vladimir,23,Caisse d'Epargne,0,2007
27,,,Bak Lars Ytting,24,CSC ProTeam,0,2007
26,,,Veikkanen Jussi,25,Fran\xe7aise des Jeux,0,2007
24,,,Proni Alessandro,26,Quickstep - Innergetic,0,2007
25,,,Sprick Matthieu,27,Bouygues Telecom,0,2007
34,,,Mizurov Andrey,28,Astana,0,2007
27,,,Clerc Aur\xe9lien,29,Bouygues Telecom,0,2007
32,,,Sastre Carlos,30,CSC ProTeam,0,2007
27,,,Devolder Stijn,31,Discovery Channel,0,2007
34,,,McEwen Robbie,32,Predictor - Lotto,0,2007
23,,,L\xf6fkvist Thomas,33,Fran\xe7aise des Jeux,0,2007
34,,,Moreni Cristian,34,Cofidis,0,2007
28,,,Fischer Murilo Antonio,35,Liquigas,0,2007
39,,,Brochard Laurent,36,Bouygues Telecom,0,2007
27,,,Rast Gregory,37,Astana,0,2007
27,,,Rogers Michael,38,T-Mobile Team,0,2007
27,,,Schleck Fr\xe4nk,39,CSC ProTeam,0,2007
24,,,Van den Broeck Jurgen,40,Predictor - Lotto,0,2007
28,,,Weissinger Ren\xe9,41,,0,2007
24,,,Monfort Maxime,42,Cofidis,0,2007
31,,,Lastras Pablo,43,Caisse d'Epargne,0,2007
31,,,Kroon Karsten,44,CSC ProTeam,0,2007
26,,,ten Dam Laurens,45,Unibet.com,0,2007
35,,,Horner Chris,46,Predictor - Lotto,0,2007
33,,,Hinault S\xe9bastien,47,Cr\xe9dit Agricole,0,2007
31,,,Garate Juan Manuel,48,Quickstep - Innergetic,0,2007
25,,,Minard S\xe9bastien,49,Cofidis,0,2007
33,,,Rodriguez Fred,50,Predictor - Lotto,0,2007
29,,,Flecha Juan Antonio,51,Rabobank ProTeam,0,2007
32,,,Zberg Markus,52,Gerolsteiner,0,2007
33,,,White Matthew,53,Discovery Channel,0,2007
26,,,Sinkewitz Patrik,54,T-Mobile Team,0,2007
28,,,Aranaga Andoni,55,Euskaltel - Euskadi,0,2007
23,,,Monnerais Cyrille,56,Fran\xe7aise des Jeux,0,2007
28,,,Ardila Mauricio Alberto,57,Rabobank ProTeam,0,2007
33,,,Hammond Roger,58,T-Mobile Team,0,2007
33,,,Bruseghin Marzio,59,Lampre-Fondital,0,2007
20,,,Uran Rigoberto,60,Unibet.com,0,2007
22,,,Dekker Thomas,61,Rabobank ProTeam,0,2007
29,,,Nocentini Rinaldo,62,AG2R Pr\xe9voyance,0,2007
29,,,Usov Alexandre,63,AG2R Pr\xe9voyance,0,2007
35,,,Voigt Jens,64,CSC ProTeam,0,2007
23,,,Kozonchuk Dmitry,65,Rabobank ProTeam,0,2007
26,,,Albasini Michael,66,Liquigas,0,2007
28,,,Rodr\xedguez Joaquim,67,Caisse d'Epargne,0,2007
30,,,Labbe Arnaud,68,Bouygues Telecom,0,2007
25,,,Losada Alberto,69,Caisse d'Epargne,0,2007
27,,,Loosli David,70,Lampre-Fondital,0,2007
24,,,Gerdemann Linus,71,T-Mobile Team,0,2007
27,,,Hary Maryan,72,Cofidis,0,2007
36,,,Zabel Erik,73,Milram,0,2007
26,,,Oroz Juan Jos\xe9,74,Euskaltel - Euskadi,0,2007
30,,,Zampieri Steve,75,Cofidis,0,2007
28,,,Tankink Bram,76,Quickstep - Innergetic,0,2007
37,,,Guerini Giuseppe,77,T-Mobile Team,0,2007
35,,,Tonti Andrea,78,Quickstep - Innergetic,0,2007
37,,,Poitschke Enrico,79,Milram,0,2007
35,,,Simoni Gilberto,80,Saunier Duval,0,2007
32,,,Pe\xf1a Victor Hugo,81,Unibet.com,0,2007
23,,,Burghardt Marcus,82,T-Mobile Team,0,2007
25,,,De Weert Kevin,83,Cofidis,0,2007
25,,,Facci Mauro,84,Quickstep - Innergetic,0,2007
28,,,Kessler Matthias,85,Astana,0,2007
29,,,Calcagni Patrick,86,Liquigas,0,2007
21,,,Duran Arkaitz,87,Saunier Duval,0,2007
32,,,Glomser Gerrit,88,,0,2007
27,,,Gerrans Simon,89,AG2R Pr\xe9voyance,0,2007
24,,,Beppu Fumiyuki,90,Discovery Channel,0,2007
31,,,Righi Daniele,91,Lampre-Fondital,0,2007
33,,,Ordowski Volker,92,Gerolsteiner,0,2007
26,,,Schr\xf6der Bjorn,93,Milram,0,2007
22,,,Jerome Vincent,94,Bouygues Telecom,0,2007
31,,,Klier Andreas,95,T-Mobile Team,0,2007
26,,,van Goolen Jurgen,96,Discovery Channel,0,2007
20,,,Schar Michael,97,Astana,0,2007
28,,,Carrara Matteo,98,Unibet.com,0,2007
35,,,Guesdon Fr\xe9d\xe9ric,99,Fran\xe7aise des Jeux,0,2007
30,,,Carlstr\xf6m Kjell,100,Liquigas,0,2007
24,,,Haddou Sa\xefd,101,Bouygues Telecom,0,2007
25,,,Pozzato Filippo,102,Liquigas,0,2007
26,,,Riblon Christophe,103,AG2R Pr\xe9voyance,0,2007
26,,,Chicchi Francesco,104,Liquigas,0,2007
23,,,Navarro Daniel,105,Astana,0,2007
29,,,Tiralongo Paolo,106,Lampre-Fondital,0,2007
26,,,Cobo Juan Jose,107,Saunier Duval,0,2007
25,,,Eltink Theo,108,Rabobank ProTeam,0,2007
22,,,Frei Thomas,109,Astana,0,2007
27,,,G\xf3mez Marchante Jose Angel,110,Saunier Duval,0,2007
33,,,Halgand Patrice,111,Cr\xe9dit Agricole,0,2007
30,,,Strauss Marcel,112,Gerolsteiner,0,2007
29,,,Laurent Christophe,113,Cr\xe9dit Agricole,0,2007
20,,,Rolland Pierre,114,Cr\xe9dit Agricole,0,2007
25,,,Ventoso Francisco,115,Saunier Duval,0,2007
25,,,Mayoz Echeverria Iban,116,Euskaltel - Euskadi,0,2007
32,,,Da Cruz Carlos,117,Fran\xe7aise des Jeux,0,2007
31,,,Ongarato Alberto,118,Milram,0,2007
25,,,Cunego Damiano,119,Lampre-Fondital,0,2007
22,,,Fernandez Alberto,120,Saunier Duval,0,2007
26,,,Dupont Hubert,121,AG2R Pr\xe9voyance,0,2007
26,,,Lopez David,122,Caisse d'Epargne,0,2007
35,,,Boven Jan,123,Rabobank ProTeam,0,2007
26,,,Albizuri Benat,124,Euskaltel - Euskadi,0,2007
25,,,Talabardon Yannick,125,Cr\xe9dit Agricole,0,2007
28,,,Bertogliati Rubens,126,Saunier Duval,0,2007
22,,,Lowe Trent,127,Discovery Channel,0,2007
27,,,Pasamontes Luis,128,Unibet.com,0,2007
25,,,Dockx Bart,129,Predictor - Lotto,0,2007
30,,,Poilvet Benoit,130,Cr\xe9dit Agricole,0,2007
34,,,Celestino Mirko,131,Milram,0,2007
25,,,Efimkin Vladimir,132,Caisse d'Epargne,0,2007
26,,,Abakoumov Igor,133,Astana,0,2007
22,,,Lund Anders,134,CSC ProTeam,0,2007
28,,,Kopp David,135,Gerolsteiner,0,2007
34,,,Trenti Guido,136,Liquigas,0,2007
25,,,Portal S\xe9bastien,137,Caisse d'Epargne,0,2007
25,,,Valentin Tristan,138,Cofidis,0,2007
22,,,Sutton Chris,139,Cofidis,0,2007
27,,,Bellotti Francesco,140,Cr\xe9dit Agricole,0,2007
28,,,Gadret John,141,AG2R Pr\xe9voyance,0,2007
24,,,Stalder Florian,142,,0,2007
30,,,Hungerbuhler Pascal,143,,0,2007
34,,,Morscher Harald,144,,0,2007
21,,,Jacobs Pieter,145,Unibet.com,0,2007
24,,,Criel Tom,146,Unibet.com CT,0,2007
34,,,Grabsch Ralf,147,Milram,0,2007
27,,,Velasco Ivan,148,Euskaltel - Euskadi,0,2007
25,,,Matzbacher Andreas,149,,0,2007
24,,,Benetseder Josef,150,,0,2007
27,,,Galdos Aitor,151,Euskaltel - Euskadi,0,2007
22,,,Fr\xf6hlinger Johannes,152,Gerolsteiner,0,2007
35,,,Boogerd Michael,153*,Rabobank ProTeam,0,2007
23,,,Brajkovi\u010d Janez,154,Discovery Channel,0,2007
23,,,Bernaudeau Giovanni,155,Bouygues Telecom,0,2007
29,,,Bru Jon,156,Euskaltel - Euskadi,0,2007
28,,,Van Huffel Wim,157,Predictor - Lotto,0,2007
27,,,Ghisalberti Sergio,158,Milram,0,2007
23,,,Mandri Ren\xe9,159,AG2R Pr\xe9voyance,0,2007
27,,,Marzano Marco,160,Lampre-Fondital,0,2007
34,,,Marichal Thierry,161,Fran\xe7aise des Jeux,0,2007
26,,,Witecki Mariusz,162,,0,2007
23,,,Schwager Sebastian,163,Milram,0,2007
26,,,Luengo Anton,164,Euskaltel - Euskadi,0,2007
35,,,Vansevenant Wim,165,Predictor - Lotto,0,2007
28,,,Lobato Ruben,166,Saunier Duval,0,2007
36,,50.0,Zabel Erik,1,Milram,1,2007
26,,30.0,Bennati Daniele,2,Lampre-Fondital,1,2007
26,,18.0,Cancellara Fabian,3,CSC ProTeam,1,2007
33,,13.0,O'Grady Stuart,4,CSC ProTeam,1,2007
28,,10.0,Fischer Murilo Antonio,5,Liquigas,1,2007
34,,7.0,McEwen Robbie,6,Predictor - Lotto,1,2007
24,,4.0,Bonnet William,7,Cr\xe9dit Agricole,1,2007
23,,3.0,Burghardt Marcus,8,T-Mobile Team,1,2007
31,,2.0,Ongarato Alberto,9,Milram,1,2007
29,,1.0,Calcagni Patrick,10,Liquigas,1,2007
28,,,Tankink Bram,11,Quickstep - Innergetic,1,2007
24,,,Visconti Giovanni,12,Quickstep - Innergetic,1,2007
33,,,Rodriguez Fred,13,Predictor - Lotto,1,2007
27,,,Florencio Xavier,14,Bouygues Telecom,1,2007
25,,,Efimkin Vladimir,15,Caisse d'Epargne,1,2007
25,,,Matzbacher Andreas,16,,1,2007
27,,,Loosli David,17,Lampre-Fondital,1,2007
39,,,Brochard Laurent,18,Bouygues Telecom,1,2007
24,,,Gusev Vladimir,19,Discovery Channel,1,2007
25,,,Mayoz Echeverria Iban,20,Euskaltel - Euskadi,1,2007
26,,,Dupont Hubert,21,AG2R Pr\xe9voyance,1,2007
23,,,Brajkovi\u010d Janez,22,Discovery Channel,1,2007
28,,,Elmiger Martin,23,AG2R Pr\xe9voyance,1,2007
28,,,Guti\xe9rrez Jos\xe9 Iv\xe1n,24,Caisse d'Epargne,1,2007
25,,,Sprick Matthieu,25,Bouygues Telecom,1,2007
25,,,Schwab Hubert,26,Quickstep - Innergetic,1,2007
23,,,L\xf6fkvist Thomas,27,Fran\xe7aise des Jeux,1,2007
29,,,Flecha Juan Antonio,28,Rabobank ProTeam,1,2007
27,,,Ballan Alessandro,29,Lampre-Fondital,1,2007
30,,,Strauss Marcel,30,Gerolsteiner,1,2007
30,,,Carlstr\xf6m Kjell,31,Liquigas,1,2007
30,,,Zampieri Steve,32,Cofidis,1,2007
35,,,Horner Chris,33,Predictor - Lotto,1,2007
34,,,Morscher Harald,34,,1,2007
34,,,Moreni Cristian,35,Cofidis,1,2007
26,,,ten Dam Laurens,36,Unibet.com,1,2007
36,,,Zberg Beat,37,Gerolsteiner,1,2007
24,,,Van den Broeck Jurgen,38,Predictor - Lotto,1,2007
35,,,Guesdon Fr\xe9d\xe9ric,39,Fran\xe7aise des Jeux,1,2007
22,,,Jerome Vincent,40,Bouygues Telecom,1,2007
28,,,Ardila Mauricio Alberto,41,Rabobank ProTeam,1,2007
27,,,Schleck Fr\xe4nk,42,CSC ProTeam,1,2007
33,,,Halgand Patrice,43,Cr\xe9dit Agricole,1,2007
26,,,Veikkanen Jussi,44,Fran\xe7aise des Jeux,1,2007
28,,,Carrara Matteo,45,Unibet.com,1,2007
24,,,Stalder Florian,46,,1,2007
27,,,Rogers Michael,47,T-Mobile Team,1,2007
20,,,Rolland Pierre,48,Cr\xe9dit Agricole,1,2007
25,,,Cunego Damiano,49,Lampre-Fondital,1,2007
23,,,Bernaudeau Giovanni,50,Bouygues Telecom,1,2007
25,,,Schumacher Stefan,51,Gerolsteiner,1,2007
26,,,Larsson Gustav,52,Unibet.com,1,2007
24,,,Monfort Maxime,53,Cofidis,1,2007
26,,,Schr\xf6der Bjorn,54,Milram,1,2007
37,,,Poitschke Enrico,55,Milram,1,2007
25,,,De Weert Kevin,56,Cofidis,1,2007
26,,,Sinkewitz Patrik,57,T-Mobile Team,1,2007
26,,,Barredo Carlos,58,Quickstep - Innergetic,1,2007
31,,,Lastras Pablo,59,Caisse d'Epargne,1,2007
26,,,Riblon Christophe,60,AG2R Pr\xe9voyance,1,2007
34,,,Mizurov Andrey,61,Astana,1,2007
25,,,Talabardon Yannick,62,Cr\xe9dit Agricole,1,2007
28,,,Kirchen Kim,63,T-Mobile Team,1,2007
21,,,Duran Arkaitz,64,Saunier Duval,1,2007
28,,,Van Huffel Wim,65,Predictor - Lotto,1,2007
25,,,Valentin Tristan,66,Cofidis,1,2007
25,,,Vaugrenard Benoit,67,Fran\xe7aise des Jeux,1,2007
34,,,Celestino Mirko,68,Milram,1,2007
20,,,Uran Rigoberto,69,Unibet.com,1,2007
29,,,Bru Jon,70,Euskaltel - Euskadi,1,2007
31,,,Garate Juan Manuel,71,Quickstep - Innergetic,1,2007
28,,,Rodr\xedguez Joaquim,72,Caisse d'Epargne,1,2007
27,,,G\xf3mez Marchante Jose Angel,73,Saunier Duval,1,2007
27,,,Velasco Ivan,74,Euskaltel - Euskadi,1,2007
24,,,Gerdemann Linus,75,T-Mobile Team,1,2007
26,,,van Goolen Jurgen,76,Discovery Channel,1,2007
26,,,Albasini Michael,77,Liquigas,1,2007
31,,,Klier Andreas,78,T-Mobile Team,1,2007
21,,,Jacobs Pieter,79,Unibet.com,1,2007
27,,,Devolder Stijn,80,Discovery Channel,1,2007
25,,,Eltink Theo,81,Rabobank ProTeam,1,2007
21,,,Meersman Gianni,82,Discovery Channel,1,2007
30,,,Poilvet Benoit,83,Cr\xe9dit Agricole,1,2007
26,,,Karpets Vladimir,84,Caisse d'Epargne,1,2007
30,,,Labbe Arnaud,85,Bouygues Telecom,1,2007
24,,,Proni Alessandro,86,Quickstep - Innergetic,1,2007
26,,,Cobo Juan Jose,87,Saunier Duval,1,2007
27,,,Bellotti Francesco,88,Cr\xe9dit Agricole,1,2007
37,,,Guerini Giuseppe,89,T-Mobile Team,1,2007
28,,,Kessler Matthias,90,Astana,1,2007
24,,,Criel Tom,91,Unibet.com CT,1,2007
29,,,Pellizotti Franco,92,Liquigas,1,2007
27,,,Hary Maryan,93,Cofidis,1,2007
29,,,Nocentini Rinaldo,94,AG2R Pr\xe9voyance,1,2007
32,,,Sastre Carlos,95,CSC ProTeam,1,2007
33,,,Bruseghin Marzio,96,Lampre-Fondital,1,2007
35,,,Voigt Jens,97,CSC ProTeam,1,2007
29,,,Tiralongo Paolo,98,Lampre-Fondital,1,2007
27,,,Marzano Marco,99,Lampre-Fondital,1,2007
35,,,Tonti Andrea,100,Quickstep - Innergetic,1,2007
25,,,Losada Alberto,101,Caisse d'Epargne,1,2007
35,,,Boogerd Michael,102*,Rabobank ProTeam,1,2007
28,,,Gadret John,103,AG2R Pr\xe9voyance,1,2007
26,,,Witecki Mariusz,104,,1,2007
27,,,Gerrans Simon,105,AG2R Pr\xe9voyance,1,2007
26,,,Lopez David,106,Caisse d'Epargne,1,2007
22,,,Dekker Thomas,107,Rabobank ProTeam,1,2007
35,,,Boven Jan,108,Rabobank ProTeam,1,2007
32,,,Pe\xf1a Victor Hugo,109,Unibet.com,1,2007
27,,,Ghisalberti Sergio,110,Milram,1,2007
30,,,Hungerbuhler Pascal,111,,1,2007
28,,,Bertogliati Rubens,112,Saunier Duval,1,2007
35,,,Simoni Gilberto,113,Saunier Duval,1,2007
23,,,Navarro Daniel,114,Astana,1,2007
20,,,Schar Michael,115,Astana,1,2007
29,,,Laurent Christophe,116,Cr\xe9dit Agricole,1,2007
27,,,Bak Lars Ytting,117,CSC ProTeam,1,2007
31,,,Kl\xf6den Andr\xe9as,118,Astana,1,2007
34,,,Grabsch Ralf,119,Milram,1,2007
25,,,Facci Mauro,120,Quickstep - Innergetic,1,2007
31,,,Kroon Karsten,121,CSC ProTeam,1,2007
22,,,Fernandez Alberto,122,Saunier Duval,1,2007
33,,,White Matthew,123,Discovery Channel,1,2007
27,,,Rast Gregory,124,Astana,1,2007
31,,,Freire Oscar,125,Rabobank ProTeam,1,2007
29,,,Usov Alexandre,126,AG2R Pr\xe9voyance,1,2007
32,,,Glomser Gerrit,127,,1,2007
22,,,Lund Anders,128,CSC ProTeam,1,2007
33,,,Ordowski Volker,129,Gerolsteiner,1,2007
28,,,Kopp David,130,Gerolsteiner,1,2007
34,,,Trenti Guido,131,Liquigas,1,2007
27,,,Clerc Aur\xe9lien,132,Bouygues Telecom,1,2007
33,,,Hinault S\xe9bastien,133,Cr\xe9dit Agricole,1,2007
22,,,Frei Thomas,134,Astana,1,2007
24,,,Benetseder Josef,135,,1,2007
26,,,Chicchi Francesco,136,Liquigas,1,2007
33,,,Hammond Roger,137,T-Mobile Team,1,2007
27,,,Pasamontes Luis,138,Unibet.com,1,2007
28,,,Weissinger Ren\xe9,139,,1,2007
23,,,Schwager Sebastian,140,Milram,1,2007
25,,,Ventoso Francisco,141,Saunier Duval,1,2007
