Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
26,29,,,,,Zabriskie David,1*,CSC ProTeam,,1,2005,
33,1,,,,,Armstrong Lance,2*,Discovery Channel,,1,2005,
31,19,,,10.0,,Vinokourov Alexandre,3,T-Mobile Team,,1,2005,
32,4,,,,,Hincapie George,4*,Discovery Channel,,1,2005,
28,102,,,6.0,,Bodrogi László,5,Crédit Agricole,,1,2005,
29,66,,,5.0,,Landis Floyd,6,Phonak Hearing Systems,,1,2005,
24,71,,,4.0,,Cancellara Fabian,7,Fassa Bortolo,,1,2005,
33,28,,,3.0,,Voigt Jens,8,CSC ProTeam,,1,2005,
24,37,,,2.0,,Karpets Vladimir,9,Illes Balears - Caisse d'Epargne,,1,2005,
31,95,,,1.0,,González de Galdeano Igor,10,Liberty Seguros - Würth Team,,1,2005,
24,131,,,70.0,,Boonen Tom,1,Quickstep - Innergetic,,2,2005,-
31,121,,,50.0,,O'Grady Stuart,2,"Cofidis, le Crédit par Téléphone",,2,2005,-
31,168,,,49.0,,Wrolich Peter,3,Gerolsteiner,,2,2005,-
27,106,,,47.0,,Hushovd Thor,4,Crédit Agricole,,2,2005,-
24,94,,,38.0,,Davis Allan Howard,5,Liberty Seguros - Würth Team,,2,2005,-
27,118,,,34.0,,Pagliarini Luciano André,6,Liquigas,,2,2005,-
27,75,,,29.0,,Flecha Juan Antonio,7,Fassa Bortolo,,2,2005,-
27,184,,,27.0,,Furlan Angelo,8,Domina Vacanze,,2,2005,-
33,41,,,26.0,,McEwen Robbie,9,Davitamon - Lotto,,2,2005,-
25,145,,,26.0,,Geslin Anthony,10,Bouygues Telecom,,2,2005,-
25,88,,,25.0,,Quinziato Manuel,11,Saunier Duval - Prodir,,2,2005,-
24,175,,,24.0,,Eisel Bernhard,12,Française des Jeux,,2,2005,-
28,64,,,20.0,,Hunter Robert,13,Phonak Hearing Systems,,2,2005,-
27,162,,,20.0,,Förster Robert,14,Gerolsteiner,,2,2005,-
30,113,,,19.0,,Bäckstedt Magnus,15,Liquigas,,2,2005,-
26,173,,,19.0,,Cooke Baden,16,Française des Jeux,,2,2005,-
28,102,,,18.0,5,Bodrogi László,17,Crédit Agricole,,2,2005,▼12
25,147,,,18.0,,Pineau Jérôme,18,Bouygues Telecom,,2,2005,-
32,138,,,16.0,,Trenti Guido,19,Quickstep - Innergetic,,2,2005,-
26,29,,,,1*,Zabriskie David,20*,CSC ProTeam,,2,2005,-
30,35,,,15.0,,Gálvez Isaac,21,Illes Balears - Caisse d'Epargne,,2,2005,-
26,82,,,14.0,,Bertogliati Rubens,22,Saunier Duval - Prodir,,2,2005,-
28,196,,,14.0,,Isasi Iñaki,23,Euskaltel - Euskadi,,2,2005,-
31,46,,,13.0,,Rodriguez Fred,24,Davitamon - Lotto,,2,2005,-
36,152,,,13.0,,Bortolami Gianluca,25,Lampre-Caffita,,2,2005,-
34,53,,,12.0,,Dekker Erik,26,Rabobank ProTeam,,2,2005,-
33,1,,,,2*,Armstrong Lance,27*,Discovery Channel,,2,2005,-
26,207,,,12.0,,Krivtsov Yuriy,28,AG2R Prévoyance,,2,2005,-
27,34,,,11.0,,Becke Daniel,29,Illes Balears - Caisse d'Epargne,,2,2005,-
26,208,,,10.0,,Portal Nicolas,30,AG2R Prévoyance,,2,2005,-
31,19,,,10.0,3,Vinokourov Alexandre,31,T-Mobile Team,,2,2005,▼28
24,186,,,10.0,,Iglinskiy Maxim,32,Domina Vacanze,,2,2005,-
31,105,,,9.0,,Hinault Sébastien,33,Crédit Agricole,,2,2005,-
32,4,,,,4*,Hincapie George,34*,Discovery Channel,,2,2005,-
30,154,,,8.0,,Glomser Gerrit,35,Lampre-Caffita,,2,2005,-
31,11,,,7.0,,Ullrich Jan,36,T-Mobile Team,,2,2005,-
25,163,,,6.0,,Lang Sebastian,37,Gerolsteiner,,2,2005,-
26,203,,,6.0,,Calzati Sylvain,38,AG2R Prévoyance,,2,2005,-
29,66,,,5.0,6,Landis Floyd,39,Phonak Hearing Systems,,2,2005,▼33
29,171,,,5.0,,McGee Bradley,40,Française des Jeux,,2,2005,-
28,127,,,5.0,,Tombak Janek,41,"Cofidis, le Crédit par Téléphone",,2,2005,-
24,71,,,4.0,7,Cancellara Fabian,42,Fassa Bortolo,,2,2005,▼35
33,86,,,4.0,,Horner Chris,43,Saunier Duval - Prodir,,2,2005,-
24,56,,,4.0,,Posthuma Joost,44,Rabobank ProTeam,,2,2005,-
25,167,,,4.0,,Wegmann Fabian,45,Gerolsteiner,,2,2005,-
26,149,,,4.0,,Voeckler Thomas,46,Bouygues Telecom,,2,2005,-
33,28,,,3.0,8,Voigt Jens,47,CSC ProTeam,,2,2005,▼39
31,129,,,3.0,,White Matthew,48,"Cofidis, le Crédit par Téléphone",,2,2005,-
35,109,,,3.0,,Kirsipuu Jaan,49,Crédit Agricole,,2,2005,-
24,37,,,2.0,9,Karpets Vladimir,50,Illes Balears - Caisse d'Epargne,,2,2005,▼41
30,83,,,2.0,,Cañada David,51,Saunier Duval - Prodir,,2,2005,-
22,176,,,2.0,,Gilbert Philippe,52,Française des Jeux,,2,2005,-
31,95,,,1.0,10,González de Galdeano Igor,53,Liberty Seguros - Würth Team,,2,2005,▼43
30,22,,,1.0,,Arvesen Kurt-Asle,54,CSC ProTeam,,2,2005,-
24,131,,,70.0,1,Boonen Tom,1,Quickstep - Innergetic,,3,2005,-
31,121,,,50.0,2,O'Grady Stuart,2,"Cofidis, le Crédit par Téléphone",,3,2005,-
31,168,,,49.0,3,Wrolich Peter,3,Gerolsteiner,,3,2005,-
27,106,,,47.0,4,Hushovd Thor,4,Crédit Agricole,,3,2005,-
24,94,,,38.0,5,Davis Allan Howard,5,Liberty Seguros - Würth Team,,3,2005,-
27,118,,,34.0,6,Pagliarini Luciano André,6,Liquigas,,3,2005,-
27,75,,,29.0,7,Flecha Juan Antonio,7,Fassa Bortolo,,3,2005,-
27,184,,,27.0,8,Furlan Angelo,8,Domina Vacanze,,3,2005,-
33,41,,,26.0,9,McEwen Robbie,9,Davitamon - Lotto,,3,2005,-
25,145,,,26.0,10,Geslin Anthony,10,Bouygues Telecom,,3,2005,-
25,88,,,25.0,11,Quinziato Manuel,11,Saunier Duval - Prodir,,3,2005,-
24,175,,,24.0,12,Eisel Bernhard,12,Française des Jeux,,3,2005,-
28,64,,,20.0,13,Hunter Robert,13,Phonak Hearing Systems,,3,2005,-
27,162,,,20.0,14,Förster Robert,14,Gerolsteiner,,3,2005,-
30,113,,,19.0,15,Bäckstedt Magnus,15,Liquigas,,3,2005,-
26,173,,,19.0,16,Cooke Baden,16,Française des Jeux,,3,2005,-
28,102,,,18.0,17,Bodrogi László,17,Crédit Agricole,,3,2005,-
25,147,,,18.0,18,Pineau Jérôme,18,Bouygues Telecom,,3,2005,-
32,138,,,16.0,19,Trenti Guido,19,Quickstep - Innergetic,,3,2005,-
26,29,,,,20*,Zabriskie David,20*,CSC ProTeam,,3,2005,-
30,35,,,15.0,21,Gálvez Isaac,21,Illes Balears - Caisse d'Epargne,,3,2005,-
26,82,,,14.0,22,Bertogliati Rubens,22,Saunier Duval - Prodir,,3,2005,-
28,196,,,14.0,23,Isasi Iñaki,23,Euskaltel - Euskadi,,3,2005,-
31,46,,,13.0,24,Rodriguez Fred,24,Davitamon - Lotto,,3,2005,-
36,152,,,13.0,25,Bortolami Gianluca,25,Lampre-Caffita,,3,2005,-
34,53,,,12.0,26,Dekker Erik,26,Rabobank ProTeam,,3,2005,-
33,1,,,,27*,Armstrong Lance,27*,Discovery Channel,,3,2005,-
26,207,,,12.0,28,Krivtsov Yuriy,28,AG2R Prévoyance,,3,2005,-
27,34,,,11.0,29,Becke Daniel,29,Illes Balears - Caisse d'Epargne,,3,2005,-
26,208,,,10.0,30,Portal Nicolas,30,AG2R Prévoyance,,3,2005,-
31,19,,,10.0,31,Vinokourov Alexandre,31,T-Mobile Team,,3,2005,-
24,186,,,10.0,32,Iglinskiy Maxim,32,Domina Vacanze,,3,2005,-
31,105,,,9.0,33,Hinault Sébastien,33,Crédit Agricole,,3,2005,-
32,4,,,,34*,Hincapie George,34*,Discovery Channel,,3,2005,-
30,154,,,8.0,35,Glomser Gerrit,35,Lampre-Caffita,,3,2005,-
31,11,,,7.0,36,Ullrich Jan,36,T-Mobile Team,,3,2005,-
25,163,,,6.0,37,Lang Sebastian,37,Gerolsteiner,,3,2005,-
26,203,,,6.0,38,Calzati Sylvain,38,AG2R Prévoyance,,3,2005,-
29,66,,,5.0,39,Landis Floyd,39,Phonak Hearing Systems,,3,2005,-
29,171,,,5.0,40,McGee Bradley,40,Française des Jeux,,3,2005,-
28,127,,,5.0,41,Tombak Janek,41,"Cofidis, le Crédit par Téléphone",,3,2005,-
24,71,,,4.0,42,Cancellara Fabian,42,Fassa Bortolo,,3,2005,-
33,86,,,4.0,43,Horner Chris,43,Saunier Duval - Prodir,,3,2005,-
24,56,,,4.0,44,Posthuma Joost,44,Rabobank ProTeam,,3,2005,-
25,167,,,4.0,45,Wegmann Fabian,45,Gerolsteiner,,3,2005,-
26,149,,,4.0,46,Voeckler Thomas,46,Bouygues Telecom,,3,2005,-
33,28,,,3.0,47,Voigt Jens,47,CSC ProTeam,,3,2005,-
