Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,1.0,-,,Orica GreenEDGE,,+ -5:37:54,16:04:24 16:04:24,2014,2
2,2.0,-,,Omega Pharma - Quick-Step,,+ -5:37:54,0:08 0:08,2014,2
3,3.0,-,,BMC Racing Team,,+ -5:37:54,0:10 0:10,2014,2
4,4.0,-,,Tinkoff - Saxo,,+ -5:37:54,0:26 0:26,2014,2
5,5.0,-,,Team Sky,,+ -5:37:54,0:32 0:32,2014,2
6,6.0,-,,Astana Pro Team,,+ -5:37:54,0:41 0:41,2014,2
7,7.0,-,,Cannondale,,+ -5:37:54,0:53 0:53,2014,2
8,9.0,\u25b21,,Team Giant - Shimano,,+ -5:37:54,0:56 0:56,2014,2
9,13.0,\u25b24,,Belkin-Pro Cycling Team,,+ -5:37:54,0:58 0:58,2014,2
10,8.0,\u25bc2,,Movistar Team,,+ -5:37:54,",, 0:58",2014,2
11,10.0,\u25bc1,,AG2R La Mondiale,,+ -5:37:54,",, 0:58",2014,2
12,11.0,\u25bc1,,Trek Factory Racing,,+ -5:37:54,1:00 1:00,2014,2
13,12.0,\u25bc1,,Neri Sottoli,,+ -5:37:54,1:01 1:01,2014,2
14,14.0,-,,Bardiani - CSF Pro Team,,+ -5:37:54,1:04 1:04,2014,2
15,15.0,-,,Androni Giocattoli - Venezuela,,+ -5:37:54,1:14 1:14,2014,2
16,16.0,-,,FDJ.fr,,+ -5:37:54,1:18 1:18,2014,2
17,18.0,\u25b21,,Team Colombia,,+ -5:37:54,1:20 1:20,2014,2
18,17.0,\u25bc1,,Lampre - Merida,,+ -5:37:54,",, 1:20",2014,2
19,20.0,\u25b21,,Lotto Belisol,,+ -5:37:54,1:34 1:34,2014,2
20,19.0,\u25bc1,,Team Katusha,,+ -5:37:54,1:36 1:36,2014,2
21,21.0,-,,Team Europcar,,+ -5:37:54,1:48 1:48,2014,2
22,22.0,-,,Garmin Sharp,,+ -5:37:54,3:26 3:26,2014,2
1,1.0,-,,Orica GreenEDGE,,+ - 10:06:37,29:30:44 29:30:44,2014,3
2,2.0,-,,Omega Pharma - Quick-Step,,+ - 10:06:37,0:19 0:19,2014,3
3,3.0,-,,BMC Racing Team,,+ - 10:06:37,0:21 0:21,2014,3
4,6.0,\u25b22,,Astana Pro Team,,+ - 10:06:37,0:30 0:30,2014,3
5,5.0,-,,Team Sky,,+ - 10:06:37,0:32 0:32,2014,3
6,4.0,\u25bc2,,Tinkoff - Saxo,,+ - 10:06:37,0:37 0:37,2014,3
7,12.0,\u25b25,,Trek Factory Racing,,+ - 10:06:37,0:49 0:49,2014,3
8,8.0,-,,Team Giant - Shimano,,+ - 10:06:37,0:56 0:56,2014,3
9,13.0,\u25b24,,Neri Sottoli,,+ - 10:06:37,1:01 1:01,2014,3
10,14.0,\u25b24,,Bardiani - CSF Pro Team,,+ - 10:06:37,1:04 1:04,2014,3
11,7.0,\u25bc4,,Cannondale,,+ - 10:06:37,",, 1:04",2014,3
12,11.0,\u25bc1,,AG2R La Mondiale,,+ - 10:06:37,1:09 1:09,2014,3
13,17.0,\u25b24,,Team Colombia,,+ - 10:06:37,1:20 1:20,2014,3
14,9.0,\u25bc5,,Belkin-Pro Cycling Team,,+ - 10:06:37,",, 1:20",2014,3
15,10.0,\u25bc5,,Movistar Team,,+ - 10:06:37,",, 1:20",2014,3
16,15.0,\u25bc1,,Androni Giocattoli - Venezuela,,+ - 10:06:37,1:25 1:25,2014,3
17,16.0,\u25bc1,,FDJ.fr,,+ - 10:06:37,1:29 1:29,2014,3
18,18.0,-,,Lampre - Merida,,+ - 10:06:37,1:31 1:31,2014,3
19,19.0,-,,Lotto Belisol,,+ - 10:06:37,1:34 1:34,2014,3
20,21.0,\u25b21,,Team Europcar,,+ - 10:06:37,1:48 1:48,2014,3
21,20.0,\u25bc1,,Team Katusha,,+ - 10:06:37,1:58 1:58,2014,3
22,22.0,-,,Garmin Sharp,,+ - 10:06:37,3:37 3:37,2014,3
1,1.0,-,,Orica GreenEDGE,,+ - 12:28:43,36:37:02 36:37:02,2014,4
2,2.0,-,,Omega Pharma - Quick-Step,,+ - 12:28:43,0:19 0:19,2014,4
3,3.0,-,,BMC Racing Team,,+ - 12:28:43,0:21 0:21,2014,4
4,4.0,-,,Astana Pro Team,,+ - 12:28:43,0:30 0:30,2014,4
5,5.0,-,,Team Sky,,+ - 12:28:43,0:32 0:32,2014,4
6,6.0,-,,Tinkoff - Saxo,,+ - 12:28:43,0:37 0:37,2014,4
7,7.0,-,,Trek Factory Racing,,+ - 12:28:43,0:49 0:49,2014,4
8,8.0,-,,Team Giant - Shimano,,+ - 12:28:43,0:56 0:56,2014,4
9,9.0,-,,Neri Sottoli,,+ - 12:28:43,1:01 1:01,2014,4
10,10.0,-,,Bardiani - CSF Pro Team,,+ - 12:28:43,1:04 1:04,2014,4
11,11.0,-,,Cannondale,,+ - 12:28:43,",, 1:04",2014,4
12,12.0,-,,AG2R La Mondiale,,+ - 12:28:43,1:09 1:09,2014,4
13,13.0,-,,Team Colombia,,+ - 12:28:43,1:20 1:20,2014,4
14,14.0,-,,Belkin-Pro Cycling Team,,+ - 12:28:43,",, 1:20",2014,4
15,15.0,-,,Movistar Team,,+ - 12:28:43,",, 1:20",2014,4
16,16.0,-,,Androni Giocattoli - Venezuela,,+ - 12:28:43,1:25 1:25,2014,4
17,17.0,-,,FDJ.fr,,+ - 12:28:43,1:29 1:29,2014,4
18,18.0,-,,Lampre - Merida,,+ - 12:28:43,1:31 1:31,2014,4
19,19.0,-,,Lotto Belisol,,+ - 12:28:43,1:34 1:34,2014,4
20,20.0,-,,Team Europcar,,+ - 12:28:43,1:48 1:48,2014,4
21,21.0,-,,Team Katusha,,+ - 12:28:43,1:58 1:58,2014,4
22,22.0,-,,Garmin Sharp,,+ - 12:28:43,3:37 3:37,2014,4
1,4.0,\u25b23,,Astana Pro Team,,+ - 17:41:23,52:16:05 52:16:05,2014,5
2,1.0,\u25bc1,,Orica GreenEDGE,,+ - 17:41:23,0:07 0:07,2014,5
3,5.0,\u25b22,,Team Sky,,+ - 17:41:23,0:19 0:19,2014,5
4,18.0,\u25b214,,Lampre - Merida,,+ - 17:41:23,0:27 0:27,2014,5
5,6.0,\u25b21,,Tinkoff - Saxo,,+ - 17:41:23,0:29 0:29,2014,5
6,8.0,\u25b22,,Team Giant - Shimano,,+ - 17:41:23,0:41 0:41,2014,5
7,12.0,\u25b25,,AG2R La Mondiale,,+ - 17:41:23,0:43 0:43,2014,5
8,3.0,\u25bc5,,BMC Racing Team,,+ - 17:41:23,1:03 1:03,2014,5
9,2.0,\u25bc7,,Omega Pharma - Quick-Step,,+ - 17:41:23,1:14 1:14,2014,5
10,7.0,\u25bc3,,Trek Factory Racing,,+ - 17:41:23,1:31 1:31,2014,5
11,20.0,\u25b29,,Team Europcar,,+ - 17:41:23,1:53 1:53,2014,5
12,15.0,\u25b23,,Movistar Team,,+ - 17:41:23,1:54 1:54,2014,5
13,11.0,\u25bc2,,Cannondale,,+ - 17:41:23,3:08 3:08,2014,5
14,10.0,\u25bc4,,Bardiani - CSF Pro Team,,+ - 17:41:23,3:29 3:29,2014,5
15,21.0,\u25b26,,Team Katusha,,+ - 17:41:23,3:41 3:41,2014,5
16,13.0,\u25bc3,,Team Colombia,,+ - 17:41:23,5:50 5:50,2014,5
17,14.0,\u25bc3,,Belkin-Pro Cycling Team,,+ - 17:41:23,6:28 6:28,2014,5
18,19.0,\u25b21,,Lotto Belisol,,+ - 17:41:23,6:42 6:42,2014,5
19,9.0,\u25bc10,,Neri Sottoli,,+ - 17:41:23,7:23 7:23,2014,5
20,17.0,\u25bc3,,FDJ.fr,,+ - 17:41:23,7:34 7:34,2014,5
21,16.0,\u25bc5,,Androni Giocattoli - Venezuela,,+ - 17:41:23,7:41 7:41,2014,5
22,22.0,-,,Garmin Sharp,,+ - 17:41:23,13:52 13:52,2014,5
1,8.0,\u25b27,,BMC Racing Team,,+ - 24:18:14,72:09:23 72:09:23,2014,6
2,5.0,\u25b23,,Tinkoff - Saxo,,+ - 24:18:14,1:01 1:01,2014,6
3,7.0,\u25b24,,AG2R La Mondiale,,+ - 24:18:14,1:35 1:35,2014,6
4,9.0,\u25b25,,Omega Pharma - Quick-Step,,+ - 24:18:14,2:06 2:06,2014,6
5,4.0,\u25bc1,,Lampre - Merida,,+ - 24:18:14,2:27 2:27,2014,6
6,2.0,\u25bc4,,Orica GreenEDGE,,+ - 24:18:14,2:34 2:34,2014,6
7,1.0,\u25bc6,,Astana Pro Team,,+ - 24:18:14,3:08 3:08,2014,6
8,12.0,\u25b24,,Movistar Team,,+ - 24:18:14,3:42 3:42,2014,6
9,11.0,\u25b22,,Team Europcar,,+ - 24:18:14,5:04 5:04,2014,6
10,16.0,\u25b26,,Team Colombia,,+ - 24:18:14,6:14 6:14,2014,6
11,18.0,\u25b27,,Lotto Belisol,,+ - 24:18:14,7:11 7:11,2014,6
12,3.0,\u25bc9,,Team Sky,,+ - 24:18:14,7:37 7:37,2014,6
13,19.0,\u25b26,,Neri Sottoli,,+ - 24:18:14,10:23 10:23,2014,6
14,6.0,\u25bc8,,Team Giant - Shimano,,+ - 24:18:14,11:07 11:07,2014,6
15,14.0,\u25bc1,,Bardiani - CSF Pro Team,,+ - 24:18:14,11:33 11:33,2014,6
16,20.0,\u25b24,,FDJ.fr,,+ - 24:18:14,12:35 12:35,2014,6
17,10.0,\u25bc7,,Trek Factory Racing,,+ - 24:18:14,13:28 13:28,2014,6
18,21.0,\u25b23,,Androni Giocattoli - Venezuela,,+ - 24:18:14,15:00 15:00,2014,6
19,17.0,\u25bc2,,Belkin-Pro Cycling Team,,+ - 24:18:14,15:02 15:02,2014,6
20,22.0,\u25b22,,Garmin Sharp,,+ - 24:18:14,15:29 15:29,2014,6
21,13.0,\u25bc8,,Cannondale,,+ - 24:18:14,17:14 17:14,2014,6
22,15.0,\u25bc7,,Team Katusha,,+ - 24:18:14,17:36 17:36,2014,6
1,1.0,-,,BMC Racing Team,,+ - 29:34:19,87:57:38 87:57:38,2014,7
2,2.0,-,,Tinkoff - Saxo,,+ - 29:34:19,1:01 1:01,2014,7
3,3.0,-,,AG2R La Mondiale,,+ - 29:34:19,1:35 1:35,2014,7
4,4.0,-,,Omega Pharma - Quick-Step,,+ - 29:34:19,2:06 2:06,2014,7
5,5.0,-,,Lampre - Merida,,+ - 29:34:19,2:27 2:27,2014,7
6,6.0,-,,Orica GreenEDGE,,+ - 29:34:19,2:34 2:34,2014,7
7,7.0,-,,Astana Pro Team,,+ - 29:34:19,3:08 3:08,2014,7
8,8.0,-,,Movistar Team,,+ - 29:34:19,3:42 3:42,2014,7
9,9.0,-,,Team Europcar,,+ - 29:34:19,5:04 5:04,2014,7
10,10.0,-,,Team Colombia,,+ - 29:34:19,6:14 6:14,2014,7
11,11.0,-,,Lotto Belisol,,+ - 29:34:19,7:11 7:11,2014,7
12,12.0,-,,Team Sky,,+ - 29:34:19,7:37 7:37,2014,7
13,13.0,-,,Neri Sottoli,,+ - 29:34:19,10:23 10:23,2014,7
14,14.0,-,,Team Giant - Shimano,,+ - 29:34:19,11:07 11:07,2014,7
15,15.0,-,,Bardiani - CSF Pro Team,,+ - 29:34:19,11:33 11:33,2014,7
16,16.0,-,,FDJ.fr,,+ - 29:34:19,12:35 12:35,2014,7
17,17.0,-,,Trek Factory Racing,,+ - 29:34:19,13:28 13:28,2014,7
18,18.0,-,,Androni Giocattoli - Venezuela,,+ - 29:34:19,15:00 15:00,2014,7
19,19.0,-,,Belkin-Pro Cycling Team,,+ - 29:34:19,15:02 15:02,2014,7
20,20.0,-,,Garmin Sharp,,+ - 29:34:19,15:29 15:29,2014,7
21,21.0,-,,Cannondale,,+ - 29:34:19,17:14 17:14,2014,7
22,22.0,-,,Team Katusha,,+ - 29:34:19,17:36 17:36,2014,7
