Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
30,1.0,,,,,Armstrong Lance,1*,US Postal Service,,,0,2002
33,51.0,,,12.0,,Jalabert Laurent,2,CSC ProTeam - Tiscali,,,0,2002
30,158.0,,,10.0,,Rumsas Raimondas,3,Lampre - Daikin,,,0,2002
29,32.0,,,8.0,,Botero Santiago,4,Kelme - Costa Blanca,,,0,2002
25,47.0,,,6.0,,Millar David,5,Cofidis,,,0,2002
34,204.0,,,5.0,,Brochard Laurent,6,Jean Delatour,,,0,2002
28,171.0,,,4.0,,Frigo Dario,7,Tacconi Sport,,,0,2002
28,24.0,,,3.0,,Gonzalez De Galdeano Igor,8,O.N.C.E. - Eroski,,,0,2002
28,21.0,,,2.0,,Beloki Joseba,9,O.N.C.E. - Eroski,,,0,2002
25,122.0,,,1.0,,Bodrogi Laszlo,10,Mapei - Quickstep,,,0,2002
32,11.0,,,36.0,,Zabel Erik,1,Team Telekom,,-,1,2002
23,153.0,,,35.0,,Bertogliati Rubens,2,Lampre - Daikin,,-,1,2002
30,147.0,,,26.0,,McEwen Robbie,3,Lotto - Adecco,,-,1,2002
34,82.0,,,24.0,,Baldato Fabio,4,Fassa Bortolo,,-,1,2002
34,204.0,,,24.0,6,Brochard Laurent,5,Jean Delatour,,\u25b21,1,2002
28,67.0,,,24.0,,O'Grady Stuart,6,Cr\xe9dit Agricole,,-,1,2002
26,121.0,,,22.0,,Freire Oscar,7,Mapei - Quickstep,,-,1,2002
28,171.0,,,22.0,7,Frigo Dario,8,Tacconi Sport,,\u25bc1,1,2002
30,158.0,,,20.0,3,Rumsas Raimondas,9,Lampre - Daikin,,\u25bc6,1,2002
29,32.0,,,20.0,4,Botero Santiago,10,Kelme - Costa Blanca,,\u25bc6,1,2002
28,35.0,,,17.0,,Gutierrez Jose Enrique,11,Kelme - Costa Blanca,,-,1,2002
33,119.0,,,16.0,,Simon Fran\xe7ois,12,Bonjour,,-,1,2002
30,1.0,,,,1*,Armstrong Lance,13*,US Postal Service,,-,1,2002
27,48.0,,,15.0,,Moncouti\xe9 David,14,Cofidis,,-,1,2002
33,51.0,,,14.0,2,Jalabert Laurent,15,CSC ProTeam - Tiscali,,\u25bc13,1,2002
26,97.0,,,14.0,,McGee Bradley,16,La Fran\xe7aise des Jeux,,-,1,2002
30,102.0,,,13.0,,Boogerd Michael,17,Rabobank ProTeam,,-,1,2002
23,129.0,,,11.0,,Trampusch Gerhard,18,Mapei - Quickstep,,-,1,2002
28,21.0,,,9.0,9,Beloki Joseba,19,O.N.C.E. - Eroski,,\u25bc10,1,2002
27,138.0,,,9.0,,Osa Unai,20,Ibanesto.com,,-,1,2002
26,137.0,,,8.0,,Mancebo Francisco,21,Ibanesto.com,,-,1,2002
25,47.0,,,6.0,5,Millar David,22,Cofidis,,\u25bc17,1,2002
25,31.0,,,6.0,,Sevilla Oscar,23,Kelme - Costa Blanca,,-,1,2002
33,173.0,,,6.0,,Bortolami Gianluca,24,Tacconi Sport,,-,1,2002
37,155.0,,,6.0,,Dierckxsens Ludo,25,Lampre - Daikin,,-,1,2002
23,94.0,,,5.0,,Cooke Baden,26,La Fran\xe7aise des Jeux,,-,1,2002
28,116.0,,,4.0,,Nazon Damien,27,Bonjour,,-,1,2002
29,79.0,,,4.0,,Wadecki Piotr,28,Domo - Farm Frites,,-,1,2002
33,98.0,,,4.0,,Mengin Christophe,29,La Fran\xe7aise des Jeux,,-,1,2002
28,24.0,,,3.0,8,Gonzalez De Galdeano Igor,30,O.N.C.E. - Eroski,,\u25bc22,1,2002
32,99.0,,,3.0,,Robin Jean-Cyril,31,La Fran\xe7aise des Jeux,,-,1,2002
30,199.0,,,2.0,,Shefer Alexandre,32,Alessio,,-,1,2002
35,95.0,,,2.0,,Durand Jacky,33,La Fran\xe7aise des Jeux,,-,1,2002
27,183.0,,,2.0,,Berges Stephane,34,AG2R Pr\xe9voyance,,-,1,2002
25,122.0,,,1.0,10,Bodrogi Laszlo,35,Mapei - Quickstep,,\u25bc25,1,2002
34,45.0,,,1.0,,Lelli Massimiliano,36,Cofidis,,-,1,2002
32,11.0,,,62.0,1,Zabel Erik,1,Team Telekom,,-,2,2002
26,121.0,,,57.0,7,Freire Oscar,2,Mapei - Quickstep,,\u25b25,2,2002
30,147.0,,,56.0,3,McEwen Robbie,3,Lotto - Adecco,,-,2,2002
28,67.0,,,40.0,6,O'Grady Stuart,4,Cr\xe9dit Agricole,,\u25b22,2,2002
23,153.0,,,35.0,2,Bertogliati Rubens,5,Lampre - Daikin,,\u25bc3,2,2002
23,94.0,,,29.0,26,Cooke Baden,6,La Fran\xe7aise des Jeux,,\u25b220,2,2002
33,119.0,,,29.0,12,Simon Fran\xe7ois,7,Bonjour,,\u25b25,2,2002
28,35.0,,,26.0,11,Gutierrez Jose Enrique,8,Kelme - Costa Blanca,,\u25b23,2,2002
34,82.0,,,24.0,4,Baldato Fabio,9,Fassa Bortolo,,\u25bc5,2,2002
34,204.0,,,24.0,5,Brochard Laurent,10,Jean Delatour,,\u25bc5,2,2002
32,186.0,,,22.0,,Kirsipuu Jaan,11,AG2R Pr\xe9voyance,,-,2,2002
28,171.0,,,22.0,8,Frigo Dario,12,Tacconi Sport,,\u25bc4,2,2002
30,158.0,,,20.0,9,Rumsas Raimondas,13,Lampre - Daikin,,\u25bc4,2,2002
29,32.0,,,20.0,10,Botero Santiago,14,Kelme - Costa Blanca,,\u25bc4,2,2002
27,176.0,,,20.0,,Hauptman Andrej,15,Tacconi Sport,,-,2,2002
