Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,13,15.0,,Cancellara Fabian,1,Saxo Bank,,0,2010
25,115,12.0,,Martin Tony,2,Team HTC - Columbia,,0,2010
33,57,10.0,,Millar David,3,Team Garmin - Transitions,,0,2010
38,21,8.0,,Armstrong Lance,4,RadioShack,,0,2010
24,39,6.0,,Thomas Geraint,5,Sky Procycling,,0,2010
27,1,,,Contador Alberto,6*,Astana,,0,2010
26,53,5.0,,Farrar Tyler,6,Team Garmin - Transitions,,0,2010
36,25,4.0,,Leipheimer Levi,7,RadioShack,,0,2010
23,36,3.0,,Boasson Hagen Edvald,8,Sky Procycling,,0,2010
27,141,2.0,,Gerdemann Linus,9,Milram,,0,2010
36,208,35.0,,Petacchi Alessandro,1,Lampre - Farnese Vini,-,1,2010
27,117,30.0,,Renshaw Mark,2,Team HTC - Columbia,-,1,2010
32,95,26.0,,Hushovd Thor,3,Cervelo Test Team,-,1,2010
38,75,24.0,,McEwen Robbie,4,Team Katusha,-,1,2010
25,65,22.0,,Ladagnous Matthieu,5,Francaise des Jeux,-,1,2010
23,46,20.0,,Oss Daniel,6,Liquigas - Doimo,-,1,2010
25,169,19.0,,Rojas Jos\xe9 Joaqu\xedn,7,Caisse d'Epargne,-,1,2010
29,145,18.0,,Knees Christian,8,Milram,-,1,2010
24,39,17.0,5,Thomas Geraint,9,Sky Procycling,\u25bc4,1,2010
28,186,17.0,,Perez Ruben,10,Euskaltel - Euskadi,-,1,2010
25,108,16.0,,Roelandts Jurgen,11,Omega Pharma-Lotto,-,1,2010
29,13,15.0,1,Cancellara Fabian,12,Saxo Bank,\u25bc11,1,2010
27,141,15.0,9,Gerdemann Linus,13,Milram,\u25bc4,1,2010
26,158,15.0,,Turgot S\xe9bastien,14,Bbox Bouygues Telecom,-,1,2010
27,185,14.0,,Perez Alan,15,Euskaltel - Euskadi,-,1,2010
25,174,13.0,,El Fares Julien,16,Cofidis Le Credit en Ligne,-,1,2010
24,192,12.0,,Boom Lars,17,Rabobank ProTeam,-,1,2010
25,115,12.0,2,Martin Tony,18,Team HTC - Columbia,\u25bc16,1,2010
33,146,12.0,,Roberts Luke,19,Milram,-,1,2010
28,139,10.0,,Wynants Maarten,20,Quickstep - Innergetic,-,1,2010
33,57,10.0,3,Millar David,21,Team Garmin - Transitions,\u25bc18,1,2010
23,36,10.0,8,Boasson Hagen Edvald,22,Sky Procycling,\u25bc14,1,2010
27,119,10.0,,Siutsou Kanstantsin,23,Team HTC - Columbia,-,1,2010
31,131,9.0,,Chavanel Sylvain,24,Quickstep - Innergetic,-,1,2010
38,21,8.0,4,Armstrong Lance,25,RadioShack,\u25bc21,1,2010
29,132,,,Barredo Carlos,26*,Quickstep - Innergetic,-,1,2010
34,32,7.0,,Barry Michael,26,Sky Procycling,-,1,2010
27,1,,6*,Contador Alberto,28*,Astana,-,1,2010
29,173,6.0,,Dumoulin Samuel,27,Cofidis Le Credit en Ligne,-,1,2010
26,53,5.0,6,Farrar Tyler,28,Team Garmin - Transitions,\u25bc22,1,2010
28,176,5.0,,Minard S\xe9bastien,29,Cofidis Le Credit en Ligne,-,1,2010
36,25,4.0,7,Leipheimer Levi,30,RadioShack,\u25bc23,1,2010
28,133,4.0,,De Weert Kevin,31,Quickstep - Innergetic,-,1,2010
25,143,3.0,,Fr\xf6hlinger Johannes,32,Milram,-,1,2010
27,79,3.0,,Vorganov Eduard,33,Team Katusha,-,1,2010
31,131,44.0,24,Chavanel Sylvain,1,Quickstep - Innergetic,\u25b223,2,2010
36,208,35.0,1,Petacchi Alessandro,2,Lampre - Farnese Vini,\u25bc1,2,2010
25,108,34.0,11,Roelandts Jurgen,3,Omega Pharma-Lotto,\u25b28,2,2010
