Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,127,,,15.0,,Millar David,1,Cofidis,,,1,2000
31,51,,,10.0,,Jalabert Laurent,3,O.N.C.E. - Deutsche Bank,,,1,2000
26,61,,,8.0,,Ullrich Jan,4,Team Telekom,,,1,2000
25,52,,,6.0,,Ca\xf1ada David,5,O.N.C.E. - Deutsche Bank,,,1,2000
31,11,,,5.0,,Z\xfclle Alex,6,Banesto,,,1,2000
34,3,,,4.0,,Ekimov Viatcheslav,7,US Postal Service,,,1,2000
31,72,,,3.0,,Borgheresi Simone,8,Mercatone Uno - Albacom,,,1,2000
29,4,,,2.0,,Hamilton Tyler,9,US Postal Service,,,1,2000
29,43,,,1.0,,Dekker Erik,10,Rabobank ProTeam,,,1,2000
28,37,,,35.0,,Steels Tom,1,Mapei - Quickstep,,-,2,2000
26,177,,,30.0,,O'Grady Stuart,2,Cr\xe9dit Agricole,,-,2,2000
23,127,,,26.0,1.0,Millar David,3,Cofidis,,\u25bc2,2,2000
29,69,,,26.0,,Zabel Erik,4,Team Telekom,,-,2,2000
27,181,,,24.0,,Vainsteins Romans,5,Vini Caldirola - Sidermec,,-,2,2000
32,109,,,22.0,,W\xfcst Marcel,6,Festina - Lotus,,-,2,2000
24,97,,,20.0,,Pieri Dario,7,Saeco,,-,2,2000
28,117,,,19.0,,McEwen Robbie,8,Farm Frites,,-,2,2000
31,199,,,19.0,,Simon Fran\xe7ois,9,Bonjour,,-,2,2000
29,43,,,19.0,10.0,Dekker Erik,10,Rabobank ProTeam,,-,2,2000
24,187,,,18.0,,Klemencic Zoran,11,Vini Caldirola - Sidermec,,-,2,2000
30,114,,,16.0,,Koerts Jans,12,Farm Frites,,-,2,2000
26,49,,,15.0,,Zberg Markus,13,Rabobank ProTeam,,-,2,2000
31,147,,,14.0,,Mengin Christophe,14,La Fran\xe7aise des Jeux,,-,2,2000
30,81,,,13.0,,Kirsipuu Jaan,15,AG2R Prevoyance,,-,2,2000
35,74,,,12.0,,Fontanelli Fabiano,16,Mercatone Uno - Albacom,,-,2,2000
33,135,,,12.0,,Durand Jacky,18,Lotto - Adecco,,-,2,2000
30,163,,,11.0,,Hoffman Tristan,19,MemoryCard - Jack & Jones,,-,2,2000
23,149,,,10.0,,Nazon Jean-Patrick,20,La Fran\xe7aise des Jeux,,-,2,2000
26,61,,,10.0,4.0,Ullrich Jan,21,Team Telekom,,\u25bc17,2,2000
31,51,,,10.0,3.0,Jalabert Laurent,22,O.N.C.E. - Deutsche Bank,,\u25bc19,2,2000
26,95,,,8.0,,Mori Massimiliano,23,Saeco,,-,2,2000
30,166,,,7.0,,Piziks Arvis,24,MemoryCard - Jack & Jones,,-,2,2000
27,197,,,6.0,,Perreaudeau Olivier,25,Bonjour,,-,2,2000
25,52,,,6.0,5.0,Ca\xf1ada David,26,O.N.C.E. - Deutsche Bank,,\u25bc21,2,2000
