BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+0:00,,1,CSC ProTeam - Tiscali,27:58 27:58,,0,2002
,,+0:00,,2,Cofidis,0:03 0:03,,0,2002
,,+0:00,,3,US Postal Service,",, 0:03",,0,2002
,,+0:00,,4,Kelme - Costa Blanca,0:05 0:05,,0,2002
,,+0:00,,5,O.N.C.E. - Eroski,0:09 0:09,,0,2002
,,+0:00,,6,Lampre - Daikin,0:14 0:14,,0,2002
,,+0:00,,7,La Fran\xe7aise des Jeux,0:20 0:20,,0,2002
,,+0:00,,8,Jean Delatour,0:26 0:26,,0,2002
,,+0:00,,9,Rabobank ProTeam,0:28 0:28,,0,2002
,,+0:00,,10,Mapei - Quickstep,",, 0:28",,0,2002
,,+0:00,,11,Fassa Bortolo,0:32 0:32,,0,2002
,,+0:00,,12,Lotto - Adecco,0:34 0:34,,0,2002
,,+0:00,,13,Ibanesto.com,0:37 0:37,,0,2002
,,+0:00,,14,Domo - Farm Frites,0:39 0:39,,0,2002
,,+0:00,,15,Euskaltel - Euskadi,0:44 0:44,,0,2002
,,+0:00,,16,Cr\xe9dit Agricole,",, 0:44",,0,2002
,,+0:00,,17,Team Telekom,0:46 0:46,,0,2002
,,+0:00,,18,Tacconi Sport,0:49 0:49,,0,2002
,,+0:00,,19,Alessio,0:50 0:50,,0,2002
,,+0:00,,20,Bonjour,1:05 1:05,,0,2002
,,+0:00,,21,AG2R Pr\xe9voyance,1:06 1:06,,0,2002
,,+ -4:58:21,1.0,1,CSC ProTeam - Tiscali,14:55:46 14:55:46,-,1,2002
,,+ -4:58:21,2.0,2,Cofidis,0:03 0:03,-,1,2002
,,+ -4:58:21,3.0,3,US Postal Service,",, 0:03",-,1,2002
,,+ -4:58:21,4.0,4,Kelme - Costa Blanca,0:05 0:05,-,1,2002
,,+ -4:58:21,5.0,5,O.N.C.E. - Eroski,0:09 0:09,-,1,2002
,,+ -4:58:21,6.0,6,Lampre - Daikin,0:14 0:14,-,1,2002
,,+ -4:58:21,7.0,7,La Fran\xe7aise des Jeux,0:20 0:20,-,1,2002
,,+ -4:58:21,8.0,8,Jean Delatour,0:26 0:26,-,1,2002
,,+ -4:58:21,10.0,9,Mapei - Quickstep,0:28 0:28,\u25b21,1,2002
,,+ -4:58:21,9.0,10,Rabobank ProTeam,",, 0:28",\u25bc1,1,2002
,,+ -4:58:21,11.0,11,Fassa Bortolo,0:32 0:32,-,1,2002
,,+ -4:58:21,12.0,12,Lotto - Adecco,0:34 0:34,-,1,2002
,,+ -4:58:21,13.0,13,Ibanesto.com,0:37 0:37,-,1,2002
,,+ -4:58:21,14.0,14,Domo - Farm Frites,0:39 0:39,-,1,2002
,,+ -4:58:21,17.0,15,Team Telekom,0:46 0:46,\u25b22,1,2002
,,+ -4:58:21,18.0,16,Tacconi Sport,0:49 0:49,\u25b22,1,2002
,,+ -4:58:21,19.0,17,Alessio,0:50 0:50,\u25b22,1,2002
,,+ -4:58:21,20.0,18,Bonjour,1:05 1:05,\u25b22,1,2002
,,+ -4:58:21,21.0,19,AG2R Pr\xe9voyance,1:06 1:06,\u25b22,1,2002
,,+ -4:58:21,15.0,20,Euskaltel - Euskadi,4:57 4:57,\u25bc5,1,2002
,,+ -4:58:21,16.0,21,Cr\xe9dit Agricole,8:17 8:17,\u25bc5,1,2002
,,+ -9:18:12,1.0,1,CSC ProTeam - Tiscali,27:55:19 27:55:19,-,2,2002
,,+ -9:18:12,2.0,2,Cofidis,0:03 0:03,-,2,2002
,,+ -9:18:12,3.0,3,US Postal Service,",, 0:03",-,2,2002
,,+ -9:18:12,4.0,4,Kelme - Costa Blanca,0:05 0:05,-,2,2002
,,+ -9:18:12,5.0,5,O.N.C.E. - Eroski,0:09 0:09,-,2,2002
,,+ -9:18:12,6.0,6,Lampre - Daikin,0:14 0:14,-,2,2002
,,+ -9:18:12,7.0,7,La Fran\xe7aise des Jeux,0:20 0:20,-,2,2002
,,+ -9:18:12,8.0,8,Jean Delatour,0:26 0:26,-,2,2002
,,+ -9:18:12,9.0,9,Mapei - Quickstep,0:28 0:28,-,2,2002
,,+ -9:18:12,10.0,10,Rabobank ProTeam,",, 0:28",-,2,2002
,,+ -9:18:12,11.0,11,Fassa Bortolo,0:32 0:32,-,2,2002
,,+ -9:18:12,12.0,12,Lotto - Adecco,0:34 0:34,-,2,2002
,,+ -9:18:12,13.0,13,Ibanesto.com,0:37 0:37,-,2,2002
,,+ -9:18:12,14.0,14,Domo - Farm Frites,0:39 0:39,-,2,2002
,,+ -9:18:12,15.0,15,Team Telekom,0:46 0:46,-,2,2002
,,+ -9:18:12,16.0,16,Tacconi Sport,0:49 0:49,-,2,2002
,,+ -9:18:12,17.0,17,Alessio,0:50 0:50,-,2,2002
,,+ -9:18:12,18.0,18,Bonjour,1:05 1:05,-,2,2002
,,+ -9:18:12,19.0,19,AG2R Pr\xe9voyance,1:06 1:06,-,2,2002
